"fishing_style","extreme_event","node","est","n","prob","f.style"
"guide","hws","individual_risk","medium",37571,0.37571,"fgu"
"guide","hws","individual_risk","high",22262,0.22262,"fgu"
"guide","hws","societal_risk","low",40167,0.40167,"fgu"
"guide","hws","societal_risk","medium",55308,0.55308,"fgu"
"guide","hws","societal_risk","high",4525,0.04525,"fgu"
"guide","hww","economic_risk","low",12699,0.12699,"fgu"
"guide","hww","economic_risk","medium",1612,0.01612,"fgu"
"guide","hww","economic_risk","high",85689,0.85689,"fgu"
"guide","hww","individual_risk","low",5908,0.05908,"fgu"
"guide","hww","individual_risk","medium",5471,0.05471,"fgu"
"guide","hww","individual_risk","high",88621,0.88621,"fgu"
"guide","hww","societal_risk","low",5908,0.05908,"fgu"
"guide","hww","societal_risk","medium",76288,0.76288,"fgu"
"guide","hww","societal_risk","high",17804,0.17804,"fgu"
"guide","gal","economic_risk","low",50408,0.50408,"fgu"
"guide","gal","economic_risk","medium",1,1e-05,"fgu"
"guide","gal","economic_risk","high",49591,0.49591,"fgu"
"guide","gal","individual_risk","low",38276,0.38276,"fgu"
"guide","gal","individual_risk","medium",40886,0.40886,"fgu"
"guide","gal","individual_risk","high",20838,0.20838,"fgu"
"guide","gal","societal_risk","low",38276,0.38276,"fgu"
"guide","gal","societal_risk","medium",57554,0.57554,"fgu"
"guide","gal","societal_risk","high",4170,0.0417,"fgu"
"guide","sto","economic_risk","medium",1890,0.0189,"fgu"
"guide","sto","economic_risk","high",98110,0.9811,"fgu"
"guide","sto","individual_risk","high",100000,1,"fgu"
"guide","sto","societal_risk","medium",80136,0.80136,"fgu"
"guide","sto","societal_risk","high",19864,0.19864,"fgu"
"guide","erf","economic_risk","medium",2011,0.02011,"fgu"
"guide","erf","economic_risk","high",97989,0.97989,"fgu"
"guide","erf","individual_risk","high",100000,1,"fgu"
"guide","erf","societal_risk","medium",80061,0.80061,"fgu"
"guide","erf","societal_risk","high",19939,0.19939,"fgu"
"guide","ici","economic_risk","medium",1906,0.01906,"fgu"
"guide","ici","economic_risk","high",98094,0.98094,"fgu"
"guide","ici","individual_risk","high",100000,1,"fgu"
"guide","ici","societal_risk","medium",80022,0.80022,"fgu"
"guide","ici","societal_risk","high",19978,0.19978,"fgu"
