"","fishing_style","extreme_event","node","est","n","iter"
"409","trawler","sto","economic_buffers","medium",50000,1
"410","trawler","sto","economic_buffers","high",50000,1
"411","trawler","sto","economic_risk","low",99023,1
"412","trawler","sto","economic_risk","medium",977,1
"413","trawler","sto","go_fishing","no",19936,1
"414","trawler","sto","go_fishing","yes",80064,1
"415","trawler","sto","individual_importance","high",100000,1
"416","trawler","sto","individual_risk","low",55552,1
"417","trawler","sto","individual_risk","medium",43422,1
"418","trawler","sto","individual_risk","high",1026,1
"419","trawler","sto","societal_importance","high",100000,1
"420","trawler","sto","societal_risk","low",55552,1
"421","trawler","sto","societal_risk","medium",43422,1
"422","trawler","sto","societal_risk","high",1026,1
"423","trawler","sto","strategy_to_change","cope",19936,1
"424","trawler","sto","strategy_to_change","react",80064,1
"425","trawler","sto","substitution_capacity","yes",100000,1
"426","trawler","erf","economic_buffers","medium",50315,1
"427","trawler","erf","economic_buffers","high",49685,1
"428","trawler","erf","economic_risk","low",100000,1
"429","trawler","erf","go_fishing","yes",100000,1
"430","trawler","erf","individual_importance","high",100000,1
"431","trawler","erf","individual_risk","low",55379,1
"432","trawler","erf","individual_risk","medium",40481,1
"433","trawler","erf","individual_risk","high",4140,1
"434","trawler","erf","societal_importance","high",100000,1
"435","trawler","erf","societal_risk","low",55379,1
"436","trawler","erf","societal_risk","medium",40481,1
"437","trawler","erf","societal_risk","high",4140,1
"438","trawler","erf","strategy_to_change","cope",100000,1
"439","trawler","erf","substitution_capacity","yes",100000,1
"440","trawler","ici","economic_buffers","medium",49966,1
"441","trawler","ici","economic_buffers","high",50034,1
"442","trawler","ici","economic_risk","low",24366,1
"443","trawler","ici","economic_risk","medium",37842,1
"444","trawler","ici","economic_risk","high",37792,1
"445","trawler","ici","go_fishing","no",24366,1
"446","trawler","ici","go_fishing","yes",75634,1
"447","trawler","ici","individual_importance","high",100000,1
"448","trawler","ici","individual_risk","low",237,1
"449","trawler","ici","individual_risk","medium",34527,1
"450","trawler","ici","individual_risk","high",65236,1
"451","trawler","ici","societal_importance","high",100000,1
"452","trawler","ici","societal_risk","low",237,1
"453","trawler","ici","societal_risk","medium",34527,1
"454","trawler","ici","societal_risk","high",65236,1
"455","trawler","ici","strategy_to_change","cope",24366,1
"456","trawler","ici","strategy_to_change","react",75634,1
"457","trawler","ici","substitution_capacity","yes",100000,1
"458","guide","abl","economic_buffers","low",94050,1
"459","guide","abl","economic_buffers","medium",5950,1
"460","guide","abl","economic_risk","low",34622,1
"461","guide","abl","economic_risk","medium",3853,1
"462","guide","abl","economic_risk","high",61525,1
"463","guide","abl","go_fishing","no",65378,1
"464","guide","abl","go_fishing","yes",34622,1
"465","guide","abl","individual_importance","high",100000,1
"466","guide","abl","individual_risk","low",22601,1
"467","guide","abl","individual_risk","medium",10184,1
"468","guide","abl","individual_risk","high",67215,1
"469","guide","abl","societal_importance","medium",79054,1
"470","guide","abl","societal_importance","high",20946,1
"471","guide","abl","societal_risk","low",22601,1
"472","guide","abl","societal_risk","medium",63321,1
"473","guide","abl","societal_risk","high",14078,1
"474","guide","abl","strategy_to_change","cope",65378,1
"475","guide","abl","strategy_to_change","adapt",34622,1
"476","guide","abl","substitution_capacity","no",100000,1
"477","guide","hws","economic_buffers","low",94030,1
"478","guide","hws","economic_buffers","medium",5970,1
"479","guide","hws","economic_risk","low",75003,1
"480","guide","hws","economic_risk","medium",20820,1
"481","guide","hws","economic_risk","high",4177,1
"482","guide","hws","go_fishing","no",4440,1
"483","guide","hws","go_fishing","yes",95560,1
"484","guide","hws","individual_importance","high",100000,1
"485","guide","hws","individual_risk","low",45910,1
"486","guide","hws","individual_risk","medium",37405,1
"487","guide","hws","individual_risk","high",16685,1
"488","guide","hws","societal_importance","medium",79075,1
"489","guide","hws","societal_importance","high",20925,1
"490","guide","hws","societal_risk","low",45910,1
"491","guide","hws","societal_risk","medium",50709,1
"492","guide","hws","societal_risk","high",3381,1
"493","guide","hws","strategy_to_change","cope",26074,1
"494","guide","hws","strategy_to_change","react",38330,1
"495","guide","hws","strategy_to_change","adapt",35596,1
"496","guide","hws","substitution_capacity","no",100000,1
"497","guide","hww","economic_buffers","low",94033,1
"498","guide","hww","economic_buffers","medium",5967,1
"499","guide","hww","economic_risk","low",29014,1
"500","guide","hww","economic_risk","medium",4096,1
"501","guide","hww","economic_risk","high",66890,1
"502","guide","hww","go_fishing","no",70986,1
"503","guide","hww","go_fishing","yes",29014,1
"504","guide","hww","individual_importance","high",100000,1
"505","guide","hww","individual_risk","low",10841,1
"506","guide","hww","individual_risk","medium",13451,1
