"","fishing_style","node","est","n","prob","iter"
"511","household","strategy_to_change","not_relevant",14280,0.1428,5
"512","household","strategy_to_change","cope",67386,0.67386,5
"513","household","strategy_to_change","react",18334,0.18334,5
"514","household","substitution_capacity","yes",100000,1,5
"515","trawler","economic_buffers","medium",42944,0.42944,5
"516","trawler","economic_buffers","high",57056,0.57056,5
"517","trawler","economic_risk","low",89993,0.89993,5
"518","trawler","economic_risk","medium",5808,0.05808,5
"519","trawler","economic_risk","high",4199,0.04199,5
"520","trawler","go_fishing","no",13924,0.13924,5
"521","trawler","go_fishing","yes",86076,0.86076,5
"522","trawler","individual_importance","high",100000,1,5
"523","trawler","individual_risk","low",40612,0.40612,5
"524","trawler","individual_risk","medium",42774,0.42774,5
"525","trawler","individual_risk","high",16614,0.16614,5
"526","trawler","societal_importance","high",100000,1,5
"527","trawler","societal_risk","low",40612,0.40612,5
"528","trawler","societal_risk","medium",42774,0.42774,5
"529","trawler","societal_risk","high",16614,0.16614,5
"530","trawler","strategy_to_change","cope",57315,0.57315,5
"531","trawler","strategy_to_change","react",42685,0.42685,5
"532","trawler","substitution_capacity","yes",100000,1,5
"533","guide","economic_buffers","low",94015,0.94015,5
"534","guide","economic_buffers","medium",5985,0.05985,5
"535","guide","economic_risk","low",22904,0.22904,5
"536","guide","economic_risk","medium",6068,0.06068,5
"537","guide","economic_risk","high",71028,0.71028,5
"538","guide","go_fishing","no",67488,0.67488,5
"539","guide","go_fishing","yes",32512,0.32512,5
"540","guide","individual_importance","high",100000,1,5
"541","guide","individual_risk","low",11647,0.11647,5
"542","guide","individual_risk","medium",13512,0.13512,5
